,id,name,rating,category,pricing,num_reviews,street address,reviews,city,url
0,8YWLuLUKj0t_0_Xv06UUtw,Ye's Apothecary,4.5,"['Szechuan', 'Speakeasies']",3.0,235,119 Orchard St,"['Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!', ""10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu..."", 'Food is great! I like how they present traditional chinese food in a new way! Highly recommend']",New York City,https://www.yelp.com/biz/yes-apothecary-new-york-4?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
1,0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,4.0,"['Shanghainese', 'Seafood', 'Noodles']",2.0,7109,46 Bowery St,"['So delicious! A great experience. Be sure to bring cash.\n\nWe had the soup dumplings, the beef with string beans, and the Shanghai fried noodles with...', 'There is a bit of a wait, but the place is huge so it goes by quickly - 20 mins max. They are cash only and everything we ordered was delicious. \n\nThe crab...', 'This is the third stop of our food tour as I have heard so much about this place from my east coast peeps. \n\nMy main purpose is to try their XLB. So, we...']",New York City,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
2,4DInnPhOyvXFbYpUdO0SMQ,Antidote,4.5,"['Cocktail Bars', 'Dim Sum', 'Szechuan']",2.0,335,66 S 2nd St,"['Excellent service & food! The drinks were so beautiful and unique as well.  The duck fried rice and cucumber salad are delicious! Will be returning :)', 'Seafood noodles in picture 1, the sauce is the same as other restaurants, the seafood inside is delicious. This dish was recommended by the chef that day,...', 'just coming back on here to share an update that they just updated their drinks menu and added a few new specials for summer! my bf ordered the milestone...']",New York City,https://www.yelp.com/biz/antidote-brooklyn-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
3,fNKYBpQJivICm0ORb3nb_Q,8282,4.5,['Korean'],,145,84 Stanton St,"[""First visit:\nMind blown by everything I ate here.\nStar of the show: Pork Galbi - my bf (who eats beef, because I don't) told me that this tasted exactly..."", 'This place was so FIREEEEE . Came with the hubby for dinner. Seemed pretty easy to get a res for a Sunday night. The decor was pretty chill, low key vibes....', 'Wow the flavors and textures, so good! This restaurant is quite popular so snagging a reservation on a weekend was pretty difficult; ended up with a 9:30...']",New York City,https://www.yelp.com/biz/8282-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
4,WJS06XxRdc6DD1s4LWE9HA,Fish Cheeks,4.5,"['Seafood', 'Thai', 'Live/Raw Food']",2.0,1261,55 Bond St,"['I never give 5 stars. I am sorry if this is coming off too strong to you, but it is my humble experience. This was my first time here, guided to this peak...', 'Fish Cheeks is one of the more unique Thai restaurants in the city. There were many dishes on the menu that I had not seen before and I was excited to give...', 'I went to to this long running NoHo staple with one of my usual groups last December. From what I can remember, the service was friendly but pretty fast and...']",New York City,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
5,ysqgdbSrezXgVwER2kQWKA,Juliana's,4.5,['Pizza'],2.0,2626,19 Old Fulton St,"['Has a great rep for a reason! We were in line for the afternoon opening. Our food took longer than a few tables that were seated after us. \nOtherwise,...', ""I want to preface this review by saying this isn't about Juliana's restaurant but more specifically the young lady who presented herself as the manager on..."", ""Brought to you by the founders of Grimaldi's Pizzeria! And also right next to it physically lol Came by on a Sunday around 5:30, party of 2, waited around...""]",New York City,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
6,MGd6HFEq1ALD58XWNviSXw,Time Out Market New York,4.0,['Food Court'],2.0,469,55 Water St,"['Amazing food and so many choices. Time out is such a cool concept. Order and pay for food and wait with your buzzer to go and collect great food from a...', ""This was my first time to Dumbo. I've been to the Time out Market in Miami but the Miami location is nothing compared to this one. The food vendors are very..."", ""First time checking out the timeout market.  It's by the Dumbo area so I don't have a reason to come out to this area until today.\n\nIt's a compilation of...""]",New York City,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
7,nMyot99PkX5iYCdxHoRJqQ,ARIARI,4.5,"['Korean', 'Tapas/Small Plates', 'Gastropubs']",,101,119 1st Ave,"[""As a Korean person, I can confidently say that Ariari is one of the best, if not the best, Korean restaurants in NYC. Although some may argue it's pricey..."", ""I'd had this place on my bucket list for a while and finally got a reservation a couple weeks ago. We wanted to try a variety of things, but in the end all..."", ""Highly suggest setting a resy notification if you're not a fan of late night dinners. The whole space isn't too big, but it looks like they're mostly saved...""]",New York City,https://www.yelp.com/biz/ariari-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
8,kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,4.0,"['Japanese', 'Steakhouses']",2.0,284,401 E 13th St,"[""Came here unexpectedly when we couldn't decide on what to eat for a late lunch.\n\nWe ordered the karaage and oyaku don to share. It was a delicious, homey,..."", ""Okay, I wasn't sure what to expect from Ichibantei. It was late on a Sunday and I wanted something delicious and didn't want pizza/fast food/halal cart/big..."", 'I ordered today from door dash expecting it to be really juicy and tender and the portion I got was mostly the fatty pieces. I asked for medium rare and I...']",New York City,https://www.yelp.com/biz/ichibantei-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
9,HaDG1Ymi8NVapPBfF4Uqiw,Trust Bae,5.0,"['Japanese', 'Filipino']",4.0,6,1204 Broadway,"['I went to Trust Bae for date night and it was such a special experience. We sat right in front of celebrity Chef Frances and watched her prepare the...', 'TLDR: so excited for a Filipino fine dining experience in the city that I can wholeheartedly say I love. No disappointing aspects of the meal, great...', ""Wow. What an experience. Chef Pais has such an incredible personality. I am sure this place will be an incredible success. It's only about a month old. Love...""]",New York City,https://www.yelp.com/biz/trust-bae-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q
