,Unnamed: 0,name,rating,style,price,street address,reviews,city,url,reviews_processed,style_processed,bag_of_words
0,0,Ye's Apothecary,4.5,"szechuan, speakeasies",mid-range,119 Orchard St,"good food, good service and good vibe. drinks have some chinese twists. highly recommend!, 10/10. food, ambience, & drinks were all superb. we had the bird's nest to drink which was absolutely fantastic. everyone should order the pork belly, yuzu..., food is great! i like how they present traditional chinese food in a new way! highly recommend",new york city,https://www.yelp.com/biz/yes-apothecary-new-york-4?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,good food good service good vibe drink chinese twist highly recommend food ambience drink superb bird nest drink absolutely fantastic everyone order pork belly yuzu food great like present traditional chinese food new way highly recommend,szechuan speakeasy,szechuan speakeasy good food good service good vibe drink chinese twist highly recommend food ambience drink superb bird nest drink absolutely fantastic everyone order pork belly yuzu food great like present traditional chinese food new way highly recommend
1,1,Joe's Shanghai,4.0,"shanghainese, seafood, noodles",mid-range,46 Bowery St,"so delicious! a great experience. be sure to bring cash.

we had the soup dumplings, the beef with string beans, and the shanghai fried noodles with..., there is a bit of a wait, but the place is huge so it goes by quickly - 20 mins max. they are cash only and everything we ordered was delicious. 

the crab..., this is the third stop of our food tour as i have heard so much about this place from my east coast peeps. 

my main purpose is to try their xlb. so, we...",new york city,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,delicious great experience sure bring cash soup dumpling beef string bean shanghai fry noodle bit wait place huge go quickly min max cash everything order delicious crab third stop food tour hear much place east coast peep main purpose try xlb,shanghainese seafood noodle,shanghainese seafood noodle delicious great experience sure bring cash soup dumpling beef string bean shanghai fry noodle bit wait place huge go quickly min max cash everything order delicious crab third stop food tour hear much place east coast peep main purpose try xlb
2,2,Antidote,4.5,"cocktail bars, dim sum, szechuan",mid-range,66 S 2nd St,"excellent service & food! the drinks were so beautiful and unique as well.  the duck fried rice and cucumber salad are delicious! will be returning :), seafood noodles in picture 1, the sauce is the same as other restaurants, the seafood inside is delicious. this dish was recommended by the chef that day,..., just coming back on here to share an update that they just updated their drinks menu and added a few new specials for summer! my bf ordered the milestone...",new york city,https://www.yelp.com/biz/antidote-brooklyn-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,excellent service food drink beautiful unique well duck fry rice cucumber salad delicious return seafood noodle picture sauce restaurant seafood inside delicious dish recommend chef day come back share update update drink menu add new special summer bf order milestone,cocktail bar dim sum szechuan,cocktail bar dim sum szechuan excellent service food drink beautiful unique well duck fry rice cucumber salad delicious return seafood noodle picture sauce restaurant seafood inside delicious dish recommend chef day come back share update update drink menu add new special summer bf order milestone
4,4,Fish Cheeks,4.5,"seafood, thai, live/raw food",mid-range,55 Bond St,"i never give 5 stars. i am sorry if this is coming off too strong to you, but it is my humble experience. this was my first time here, guided to this peak..., fish cheeks is one of the more unique thai restaurants in the city. there were many dishes on the menu that i had not seen before and i was excited to give..., i went to to this long running noho staple with one of my usual groups last december. from what i can remember, the service was friendly but pretty fast and...",new york city,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,never give star sorry come strong humble experience first time guide peak fish cheek one unique thai restaurant city many dish menu see excite give go long running noho staple one usual group last december remember service friendly pretty fast,seafood thai food,seafood thai food never give star sorry come strong humble experience first time guide peak fish cheek one unique thai restaurant city many dish menu see excite give go long running noho staple one usual group last december remember service friendly pretty fast
5,5,Juliana's,4.5,pizza,mid-range,19 Old Fulton St,"has a great rep for a reason! we were in line for the afternoon opening. our food took longer than a few tables that were seated after us. 
otherwise,..., i want to preface this review by saying this isn't about juliana's restaurant but more specifically the young lady who presented herself as the manager on..., brought to you by the founders of grimaldi's pizzeria! and also right next to it physically lol came by on a sunday around 5:30, party of 2, waited around...",new york city,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,great rep reason line afternoon opening food take longer table seat u otherwise want preface review say juliana restaurant specifically young lady present manager bring founder grimaldi pizzeria also right next physically lol come sunday around party wait around,pizza,pizza great rep reason line afternoon opening food take longer table seat u otherwise want preface review say juliana restaurant specifically young lady present manager bring founder grimaldi pizzeria also right next physically lol come sunday around party wait around
6,6,Time Out Market New York,4.0,food court,mid-range,55 Water St,"amazing food and so many choices. time out is such a cool concept. order and pay for food and wait with your buzzer to go and collect great food from a..., this was my first time to dumbo. i've been to the time out market in miami but the miami location is nothing compared to this one. the food vendors are very..., first time checking out the timeout market.  it's by the dumbo area so i don't have a reason to come out to this area until today.

it's a compilation of...",new york city,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,amaze food many choice time cool concept order pay food wait buzzer go collect great food first time dumbo time market miami miami location nothing compare one food vendor first time check timeout market dumbo area reason come area today compilation,food court,food court amaze food many choice time cool concept order pay food wait buzzer go collect great food first time dumbo time market miami miami location nothing compare one food vendor first time check timeout market dumbo area reason come area today compilation
8,8,Ichibantei,4.0,"japanese, steakhouses",mid-range,401 E 13th St,"came here unexpectedly when we couldn't decide on what to eat for a late lunch.

we ordered the karaage and oyaku don to share. it was a delicious, homey,..., okay, i wasn't sure what to expect from ichibantei. it was late on a sunday and i wanted something delicious and didn't want pizza/fast food/halal cart/big..., i ordered today from door dash expecting it to be really juicy and tender and the portion i got was mostly the fatty pieces. i asked for medium rare and i...",new york city,https://www.yelp.com/biz/ichibantei-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come unexpectedly could decide eat late lunch order karaage oyaku share delicious homey okay sure expect ichibantei late sunday want something delicious want order today door dash expect really juicy tender portion get mostly fatty piece ask medium rare,japanese steakhouse,japanese steakhouse come unexpectedly could decide eat late lunch order karaage oyaku share delicious homey okay sure expect ichibantei late sunday want something delicious want order today door dash expect really juicy tender portion get mostly fatty piece ask medium rare
9,9,Trust Bae,5.0,"japanese, filipino",fine-dining,1204 Broadway,"i went to trust bae for date night and it was such a special experience. we sat right in front of celebrity chef frances and watched her prepare the..., tldr: so excited for a filipino fine dining experience in the city that i can wholeheartedly say i love. no disappointing aspects of the meal, great..., wow. what an experience. chef pais has such an incredible personality. i am sure this place will be an incredible success. it's only about a month old. love...",new york city,https://www.yelp.com/biz/trust-bae-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,go trust bae date night special experience sit right front celebrity chef france watch prepare tldr excite filipino fine din experience city wholeheartedly say love disappointing aspect meal great wow experience chef pais incredible personality sure place incredible success month old love,japanese filipino,japanese filipino go trust bae date night special experience sit right front celebrity chef france watch prepare tldr excite filipino fine din experience city wholeheartedly say love disappointing aspect meal great wow experience chef pais incredible personality sure place incredible success month old love
10,10,Taboonette,4.5,"mediterranean, middle eastern, american (new)",mid-range,30 E 13th St,"i absolutely loved my meal at this hidden gem!! i ordered the warm kale salad, which came with chickpeas, sweet potato, carrots, citrus cilantro..., came here after a very exhausting flight for a simple dinner.
small shop but really well maintained and clean inside with a cute design. few spots to sit..., folks this is the real deal when it comes to israeli food . i wish we had this quality in the bay area  in california . 
we were passing by on a thu noon ,...",new york city,https://www.yelp.com/biz/taboonette-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,absolutely love meal hidden gem order warm kale salad come chickpea sweet potato carrot citrus cilantro come exhausting flight simple dinner small shop really well maintain clean inside cute design spot sit folk real deal come israeli food wish quality bay area california pass thu noon,mediterranean middle eastern american new,mediterranean middle eastern american new absolutely love meal hidden gem order warm kale salad come chickpea sweet potato carrot citrus cilantro come exhausting flight simple dinner small shop really well maintain clean inside cute design spot sit folk real deal come israeli food wish quality bay area california pass thu noon
13,13,Malibu Farm New York,4.0,"american (new), venues & event spaces, beer, wine & spirits",mid-range,89 South St,"i had a solo dinner for nyc restaurant week. service was great, portions were huge that i took half of my entree home. 

appetizer: helene's long island..., i've lived in the financial district area for 2 years and frequently pass malibu farm. i have always wondered if i'm missing out on malibu farm - they're..., overall rating: 3.4

the service was terrrible. terrible.

i have to disclose that i went with a group of 8 or so people, so maybe they don't like giving...",new york city,https://www.yelp.com/biz/malibu-farm-new-york-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,solo dinner nyc restaurant week service great portion huge take half entree home appetizer helene long island live financial district area year frequently pass malibu farm always wonder miss malibu farm overall rating service terrrible terrible disclose go group people maybe like give,american new venue event space beer wine spirit,american new venue event space beer wine spirit solo dinner nyc restaurant week service great portion huge take half entree home appetizer helene long island live financial district area year frequently pass malibu farm always wonder miss malibu farm overall rating service terrrible terrible disclose go group people maybe like give
